"","iyear","country","attacktype1","weaptype1","gname","nkill","nhours","ndays","hostkidoutcome","suicide"
"1",2015,4,6,5,"Taliban",4,NA,1,4,0
"2",2015,4,6,5,"Taliban",6,NA,-99,7,0
"3",2015,4,6,5,"Taliban",0,NA,1,2,0
"4",2015,4,6,5,"Taliban",NA,NA,-99,7,0
"5",2015,4,6,5,"Taliban",2,NA,3,6,0
"6",2015,4,6,5,"Taliban",0,NA,11,2,0
"7",2015,4,6,13,"Taliban",0,NA,4,2,0
"8",2015,4,6,13,"Taliban",0,NA,1,3,0
"9",2015,4,5,6,"Unknown",0,-99,NA,2,0
"10",2015,4,6,5,"Taliban",2,NA,NA,NA,0
"11",2015,4,6,13,"Taliban",2,-99,NA,4,0
"12",2015,4,6,13,"Taliban",1,NA,28,6,0
"13",2015,4,6,5,"Taliban",NA,NA,-99,7,0
"14",2015,4,6,5,"Unknown",0,NA,-99,2,0
"15",2015,4,6,13,"Taliban",0,NA,4,2,0
"16",2015,4,6,5,"Taliban",2,NA,3,4,0
"17",2015,4,6,5,"Taliban",3,-99,NA,6,0
"18",2015,4,6,5,"Unknown",6,NA,-99,6,0
"19",2015,4,6,5,"Taliban",1,1,NA,4,0
"20",2015,4,6,13,"Unknown",NA,NA,-99,7,0
"21",2015,4,6,5,"Unknown",1,1,NA,4,0
"22",2015,4,6,5,"Unknown",NA,NA,-99,7,0
"23",2015,4,6,5,"Taliban",1,1,NA,4,0
"24",2015,4,6,5,"Islamic Movement of Uzbekistan (IMU)",3,NA,260,6,0
"25",2015,4,5,6,"Taliban",NA,NA,-99,7,0
"26",2015,4,6,5,"Taliban",5,NA,39,4,0
"27",2015,4,6,5,"Taliban",1,NA,3,4,0
"28",2015,4,6,13,"Unknown",3,NA,-99,4,0
"29",2015,4,6,5,"Taliban",2,NA,3,4,0
"30",2015,4,6,5,"Unknown",NA,NA,-99,6,0
"31",2015,4,6,5,"Taliban",NA,NA,-99,6,0
"32",2015,4,6,5,"Khorasan Chapter of the Islamic State",NA,NA,-99,6,0
"33",2015,4,6,13,"Taliban",3,NA,20,4,0
"34",2015,4,6,5,"Unknown",5,-99,NA,4,0
"35",2015,4,6,5,"Unknown",NA,NA,-99,7,0
