"","iyear","country","attacktype1","weaptype1","gname","nkill","nhours","ndays","hostkidoutcome","suicide"
"1",2015,92,6,5,"Jharkhand Janmukti Parishad (JJP)",0,1,NA,2,0
"2",2015,92,6,5,"Maoists",2,-99,NA,4,0
"3",2015,92,6,13,"Maoists",0,NA,6,2,0
"4",2015,92,6,5,"Maoists",1,NA,3,4,0
"5",2015,92,6,5,"Maoists",1,NA,3,4,0
"6",2015,92,6,13,"Maoists",0,-99,NA,2,0
"7",2015,92,6,5,"Communist Party of India - Maoist (CPI-Maoist)",1,-99,NA,4,0
"8",2015,92,6,13,"Kuki National Front (KNF)",NA,NA,-99,7,0
"9",2015,92,4,13,"Communist Party of India - Maoist (CPI-Maoist)",0,3,NA,2,0
"10",2015,92,5,13,"Maoists",0,4,NA,2,0
"11",2015,92,6,5,"Unknown",0,NA,4,2,0
"12",2015,92,6,5,"Maoists",0,-99,NA,2,0
"13",2015,92,6,5,"Bru Democratic Front of Mizoram (BDFM)",0,NA,7,2,0
"14",2015,92,6,13,"Maoists",NA,NA,-99,7,0
"15",2015,92,6,13,"Zeliangrong United Front",1,NA,2,4,0
"16",2015,92,6,9,"Maoists",1,1,NA,4,0
"17",2015,92,6,5,"Maoists",1,-99,NA,6,0
"18",2015,92,6,13,"National Socialist Council of Nagaland-Khaplang (NSCN-K)",0,NA,-99,5,0
"19",2015,92,6,5,"Kuki Tribal Militants",NA,NA,-99,7,0
"20",2015,92,6,13,"Communist Party of India - Maoist (CPI-Maoist)",NA,NA,-99,7,0
"21",2015,92,6,13,"Unknown",NA,NA,-99,7,0
"22",2015,92,6,6,"Maoists",1,-99,NA,6,0
"23",2015,92,4,6,"Lashkar-e-Taiba (LeT)",7,-99,NA,2,1
"24",2015,92,6,5,"Maoists",3,-99,NA,4,0
"25",2015,92,6,5,"Communist Party of India - Maoist (CPI-Maoist)",2,-99,NA,4,0
"26",2015,92,6,5,"Maoists",0,-99,NA,2,0
"27",2015,92,6,13,"Maoists",1,-99,NA,4,0
"28",2015,92,6,5,"Communist Party of India - Maoist (CPI-Maoist)",0,NA,3,2,0
"29",2015,92,6,5,"Communist Party of India - Maoist (CPI-Maoist)",0,NA,3,2,0
