"","iyear","country","attacktype1","weaptype1","gname","nkill","nhours","ndays","hostkidoutcome","suicide"
"1",2015,95,6,5,"Islamic State of Iraq and the Levant (ISIL)",15,-99,NA,4,0
"2",2015,95,6,13,"Islamic State of Iraq and the Levant (ISIL)",NA,NA,-99,6,0
"3",2015,95,6,13,"Islamic State of Iraq and the Levant (ISIL)",NA,NA,-99,6,0
"4",2015,95,6,13,"Islamic State of Iraq and the Levant (ISIL)",NA,NA,-99,7,0
"5",2015,95,6,13,"Islamic State of Iraq and the Levant (ISIL)",NA,NA,-99,7,0
"6",2015,95,6,13,"Islamic State of Iraq and the Levant (ISIL)",NA,NA,-99,7,0
"7",2015,95,6,13,"Islamic State of Iraq and the Levant (ISIL)",NA,NA,-99,7,0
"8",2015,95,6,13,"Islamic State of Iraq and the Levant (ISIL)",NA,NA,-99,7,0
"9",2015,95,6,13,"Islamic State of Iraq and the Levant (ISIL)",NA,NA,-99,7,0
"10",2015,95,6,13,"Islamic State of Iraq and the Levant (ISIL)",NA,NA,-99,7,0
"11",2015,95,5,13,"Islamic State of Iraq and the Levant (ISIL)",3,NA,-99,4,0
"12",2015,95,6,5,"Unknown",2,NA,2,4,0
"13",2015,95,6,5,"Islamic State of Iraq and the Levant (ISIL)",NA,NA,-99,7,0
"14",2015,95,6,13,"Islamic State of Iraq and the Levant (ISIL)",NA,NA,-99,7,0
"15",2015,95,6,13,"Islamic State of Iraq and the Levant (ISIL)",NA,NA,-99,7,0
"16",2015,95,6,13,"Islamic State of Iraq and the Levant (ISIL)",NA,NA,-99,7,0
"17",2015,95,6,13,"Islamic State of Iraq and the Levant (ISIL)",NA,NA,-99,7,0
"18",2015,95,6,13,"Islamic State of Iraq and the Levant (ISIL)",NA,NA,-99,7,0
"19",2015,95,6,13,"Islamic State of Iraq and the Levant (ISIL)",NA,NA,-99,7,0
"20",2015,95,6,13,"Islamic State of Iraq and the Levant (ISIL)",NA,NA,-99,7,0
"21",2015,95,6,5,"Islamic State of Iraq and the Levant (ISIL)",1,NA,-99,6,0
"22",2015,95,6,13,"Unknown",NA,NA,-99,7,0
"23",2015,95,6,13,"Islamic State of Iraq and the Levant (ISIL)",NA,NA,-99,7,0
"24",2015,95,6,5,"Unknown",7,NA,-99,7,0
"25",2015,95,6,5,"Unknown",7,NA,-99,7,0
"26",2015,95,6,5,"Unknown",6,NA,-99,7,0
"27",2015,95,6,5,"Unknown",5,NA,-99,7,0
"28",2015,95,6,13,"Islamic State of Iraq and the Levant (ISIL)",NA,NA,-99,7,0
"29",2015,95,5,6,"Islamic State of Iraq and the Levant (ISIL)",0,-99,NA,5,0
"30",2015,95,6,5,"Unknown",NA,NA,-99,7,0
"31",2015,95,6,13,"Islamic State of Iraq and the Levant (ISIL)",NA,NA,-99,7,0
"32",2015,95,6,13,"Unknown",NA,NA,-99,7,0
"33",2015,95,6,5,"Islamic State of Iraq and the Levant (ISIL)",1,-99,NA,4,0
"34",2015,95,6,5,"Islamic State of Iraq and the Levant (ISIL)",NA,NA,-99,7,0
"35",2015,95,6,9,"Islamic State of Iraq and the Levant (ISIL)",4,-99,NA,2,0
"36",2015,95,6,13,"Islamic State of Iraq and the Levant (ISIL)",NA,NA,-99,7,0
"37",2015,95,6,8,"Islamic State of Iraq and the Levant (ISIL)",45,-99,NA,4,0
